"Date","Price","Open","High","Low","Change %"
"Apr 09, 2015","1.0659","1.0781","1.0789","1.0638","-1.13"
"Apr 10, 2015","1.0604","1.0660","1.0685","1.0569","-0.52"
"Apr 13, 2015","1.0568","1.0602","1.0619","1.0520","-0.34"
"Apr 14, 2015","1.0654","1.0566","1.0709","1.0530","0.81"
"Apr 15, 2015","1.0686","1.0655","1.0703","1.0572","0.30"
"Apr 16, 2015","1.0762","1.0684","1.0819","1.0625","0.71"
"Apr 17, 2015","1.0807","1.0762","1.0850","1.0737","0.42"
"Apr 20, 2015","1.0737","1.0821","1.0825","1.0713","-0.65"
"Apr 21, 2015","1.0736","1.0740","1.0784","1.0661","-0.01"
"Apr 22, 2015","1.0726","1.0736","1.0802","1.0709","-0.09"
"Apr 23, 2015","1.0827","1.0726","1.0848","1.0667","0.94"
"Apr 24, 2015","1.0874","1.0825","1.0901","1.0785","0.43"
"Apr 27, 2015","1.0888","1.0873","1.0928","1.0821","0.13"
"Apr 28, 2015","1.0981","1.0894","1.0991","1.0859","0.85"
"Apr 29, 2015","1.1132","1.0983","1.1189","1.0960","1.38"
"Apr 30, 2015","1.1225","1.1130","1.1269","1.1073","0.84"
"May 01, 2015","1.1202","1.1223","1.1290","1.1176","-0.20"
"May 04, 2015","1.1146","1.1202","1.1226","1.1123","-0.50"
"May 05, 2015","1.1186","1.1147","1.1223","1.1067","0.36"
"May 06, 2015","1.1353","1.1187","1.1372","1.1176","1.49"
"May 07, 2015","1.1267","1.1347","1.1393","1.1237","-0.76"
"May 08, 2015","1.1204","1.1267","1.1290","1.1178","-0.56"
"May 11, 2015","1.1155","1.1197","1.1207","1.1131","-0.44"
"May 12, 2015","1.1214","1.1155","1.1277","1.1134","0.53"
"May 13, 2015","1.1357","1.1214","1.1385","1.1204","1.28"
"May 14, 2015","1.1410","1.1359","1.1447","1.1341","0.47"
"May 15, 2015","1.1452","1.1410","1.1467","1.1324","0.37"
"May 18, 2015","1.1315","1.1441","1.1450","1.1298","-1.20"
"May 19, 2015","1.1149","1.1317","1.1328","1.1119","-1.47"
"May 20, 2015","1.1093","1.1150","1.1156","1.1063","-0.50"
"May 21, 2015","1.1113","1.1092","1.1181","1.1080","0.18"
"May 22, 2015","1.1018","1.1115","1.1211","1.1004","-0.85"
"May 25, 2015","1.0978","1.1006","1.1012","1.0961","-0.36"
"May 26, 2015","1.0873","1.0978","1.0985","1.0863","-0.96"
"May 27, 2015","1.0905","1.0873","1.0931","1.0820","0.29"
"May 28, 2015","1.0949","1.0905","1.0960","1.0869","0.40"
"May 29, 2015","1.0988","1.0948","1.1006","1.0926","0.36"
"Jun 01, 2015","1.0928","1.0989","1.0991","1.0888","-0.55"
"Jun 02, 2015","1.1155","1.0928","1.1193","1.0915","2.08"
"Jun 03, 2015","1.1275","1.1151","1.1284","1.1079","1.08"
"Jun 04, 2015","1.1239","1.1276","1.1381","1.1227","-0.32"
"Jun 05, 2015","1.1113","1.1239","1.1281","1.1050","-1.12"
"Jun 08, 2015","1.1292","1.1113","1.1307","1.1080","1.61"
"Jun 09, 2015","1.1284","1.1292","1.1345","1.1214","-0.07"
"Jun 10, 2015","1.1326","1.1286","1.1387","1.1261","0.37"
"Jun 11, 2015","1.1258","1.1325","1.1332","1.1183","-0.60"
"Jun 12, 2015","1.1269","1.1258","1.1298","1.1151","0.10"
"Jun 15, 2015","1.1284","1.1225","1.1294","1.1189","0.13"
"Jun 16, 2015","1.1248","1.1283","1.1331","1.1206","-0.32"
"Jun 17, 2015","1.1337","1.1249","1.1360","1.1213","0.79"
"Jun 18, 2015","1.1360","1.1337","1.1438","1.1331","0.20"
"Jun 19, 2015","1.1353","1.1360","1.1393","1.1292","-0.06"
"Jun 22, 2015","1.1341","1.1363","1.1411","1.1312","-0.11"
"Jun 23, 2015","1.1170","1.1341","1.1348","1.1135","-1.51"
"Jun 24, 2015","1.1207","1.1171","1.1237","1.1156","0.33"
"Jun 25, 2015","1.1204","1.1204","1.1227","1.1153","-0.03"
"Jun 26, 2015","1.1166","1.1207","1.1221","1.1131","-0.34"
"Jun 29, 2015","1.1236","1.1031","1.1279","1.0954","0.63"
"Jun 30, 2015","1.1138","1.1237","1.1246","1.1114","-0.87"
"Jul 01, 2015","1.1054","1.1139","1.1172","1.1042","-0.75"
"Jul 02, 2015","1.1084","1.1054","1.1124","1.1031","0.27"
"Jul 03, 2015","1.1114","1.1086","1.1119","1.1066","0.27"
"Jul 06, 2015","1.1057","1.0993","1.1097","1.0969","-0.51"
"Jul 07, 2015","1.1012","1.1056","1.1061","1.0917","-0.41"
"Jul 08, 2015","1.1077","1.1012","1.1094","1.0974","0.59"
"Jul 09, 2015","1.1038","1.1078","1.1126","1.0992","-0.35"
"Jul 10, 2015","1.1164","1.1037","1.1218","1.1031","1.14"
"Jul 13, 2015","1.1004","1.1107","1.1197","1.0995","-1.43"
"Jul 14, 2015","1.1012","1.1004","1.1084","1.0966","0.07"
"Jul 15, 2015","1.0949","1.1010","1.1035","1.0930","-0.57"
"Jul 16, 2015","1.0875","1.0947","1.0964","1.0856","-0.68"
"Jul 17, 2015","1.0829","1.0875","1.0907","1.0827","-0.42"
"Jul 20, 2015","1.0827","1.0833","1.0872","1.0810","-0.02"
"Jul 21, 2015","1.0937","1.0825","1.0970","1.0811","1.02"
"Jul 22, 2015","1.0934","1.0936","1.0966","1.0869","-0.03"
"Jul 23, 2015","1.0983","1.0928","1.1019","1.0922","0.45"
"Jul 24, 2015","1.0984","1.0983","1.0997","1.0926","0.01"
"Jul 27, 2015","1.1094","1.0974","1.1130","1.0970","1.00"
"Jul 28, 2015","1.1059","1.1089","1.1101","1.1022","-0.32"
"Jul 29, 2015","1.0986","1.1061","1.1086","1.0967","-0.66"
"Jul 30, 2015","1.0933","1.0987","1.0992","1.0894","-0.48"
"Jul 31, 2015","1.0988","1.0934","1.1114","1.0921","0.50"
"Aug 03, 2015","1.0951","1.0970","1.0997","1.0941","-0.34"
"Aug 04, 2015","1.0882","1.0951","1.0989","1.0877","-0.63"
"Aug 05, 2015","1.0906","1.0883","1.0938","1.0849","0.22"
"Aug 06, 2015","1.0925","1.0909","1.0944","1.0876","0.17"
"Aug 07, 2015","1.0968","1.0930","1.0981","1.0857","0.39"
"Aug 10, 2015","1.1019","1.0969","1.1044","1.0927","0.46"
"Aug 11, 2015","1.1040","1.1019","1.1088","1.0960","0.19"
"Aug 12, 2015","1.1157","1.1040","1.1212","1.1023","1.06"
"Aug 13, 2015","1.1149","1.1157","1.1189","1.1080","-0.07"
"Aug 14, 2015","1.1107","1.1149","1.1189","1.1096","-0.38"
"Aug 17, 2015","1.1081","1.1106","1.1125","1.1058","-0.23"
"Aug 18, 2015","1.1021","1.1083","1.1096","1.1018","-0.54"
"Aug 19, 2015","1.1119","1.1023","1.1137","1.1019","0.89"
"Aug 20, 2015","1.1242","1.1117","1.1246","1.1105","1.11"
"Aug 21, 2015","1.1389","1.1244","1.1393","1.1229","1.31"
"Aug 24, 2015","1.1620","1.1363","1.1713","1.1363","2.03"
"Aug 25, 2015","1.1517","1.1619","1.1625","1.1399","-0.89"
"Aug 26, 2015","1.1315","1.1515","1.1561","1.1290","-1.75"
"Aug 27, 2015","1.1245","1.1314","1.1366","1.1204","-0.62"
"Aug 28, 2015","1.1179","1.1247","1.1310","1.1156","-0.59"
"Aug 31, 2015","1.1214","1.1176","1.1265","1.1162","0.31"
"Sep 01, 2015","1.1319","1.1211","1.1333","1.1206","0.94"
"Sep 02, 2015","1.1227","1.1311","1.1319","1.1214","-0.81"
"Sep 03, 2015","1.1124","1.1227","1.1246","1.1088","-0.92"
"Sep 04, 2015","1.1147","1.1124","1.1181","1.1089","0.21"
"Sep 07, 2015","1.1168","1.1157","1.1178","1.1120","0.19"
"Sep 08, 2015","1.1200","1.1170","1.1229","1.1152","0.29"
"Sep 09, 2015","1.1207","1.1202","1.1219","1.1133","0.06"
"Sep 10, 2015","1.1280","1.1209","1.1299","1.1174","0.65"
"Sep 11, 2015","1.1340","1.1279","1.1349","1.1254","0.53"
"Sep 14, 2015","1.1321","1.1338","1.1375","1.1285","-0.17"
"Sep 15, 2015","1.1267","1.1313","1.1328","1.1258","-0.48"
"Sep 16, 2015","1.1290","1.1267","1.1321","1.1212","0.20"
"Sep 17, 2015","1.1437","1.1290","1.1442","1.1284","1.30"
"Sep 18, 2015","1.1305","1.1435","1.1460","1.1267","-1.15"
"Sep 21, 2015","1.1189","1.1284","1.1332","1.1183","-1.03"
"Sep 22, 2015","1.1120","1.1188","1.1209","1.1114","-0.62"
"Sep 23, 2015","1.1187","1.1120","1.1214","1.1105","0.60"
"Sep 24, 2015","1.1230","1.1185","1.1296","1.1164","0.38"
"Sep 25, 2015","1.1195","1.1227","1.1231","1.1115","-0.31"
"Sep 28, 2015","1.1246","1.1195","1.1250","1.1149","0.46"
"Sep 29, 2015","1.1249","1.1247","1.1285","1.1196","0.03"
"Sep 30, 2015","1.1177","1.1246","1.1262","1.1157","-0.64"
"Oct 01, 2015","1.1195","1.1176","1.1210","1.1134","0.16"
"Oct 02, 2015","1.1211","1.1196","1.1319","1.1151","0.14"
"Oct 05, 2015","1.1185","1.1220","1.1290","1.1170","-0.23"
"Oct 06, 2015","1.1271","1.1193","1.1282","1.1174","0.77"
"Oct 07, 2015","1.1235","1.1269","1.1284","1.1210","-0.32"
"Oct 08, 2015","1.1279","1.1235","1.1325","1.1232","0.39"
"Oct 09, 2015","1.1358","1.1282","1.1391","1.1269","0.70"
"Oct 12, 2015","1.1355","1.1355","1.1397","1.1351","-0.03"
"Oct 13, 2015","1.1379","1.1358","1.1413","1.1346","0.21"
"Oct 14, 2015","1.1473","1.1378","1.1490","1.1374","0.83"
"Oct 15, 2015","1.1383","1.1474","1.1496","1.1363","-0.78"
"Oct 16, 2015","1.1347","1.1383","1.1397","1.1334","-0.32"
"Oct 19, 2015","1.1327","1.1352","1.1382","1.1307","-0.18"
"Oct 20, 2015","1.1345","1.1326","1.1387","1.1324","0.16"
"Oct 21, 2015","1.1339","1.1347","1.1380","1.1335","-0.05"
"Oct 22, 2015","1.1107","1.1338","1.1351","1.1098","-2.05"
"Oct 23, 2015","1.1018","1.1111","1.1142","1.0997","-0.80"
"Oct 26, 2015","1.1056","1.1008","1.1069","1.0987","0.34"
"Oct 27, 2015","1.1048","1.1056","1.1079","1.1029","-0.07"
"Oct 28, 2015","1.0920","1.1050","1.1096","1.0894","-1.16"
"Oct 29, 2015","1.0976","1.0924","1.0985","1.0903","0.51"
"Oct 30, 2015","1.1006","1.0976","1.1073","1.0964","0.27"
"Nov 02, 2015","1.1015","1.1015","1.1053","1.1001","0.08"
"Nov 03, 2015","1.0968","1.1014","1.1031","1.0936","-0.43"
"Nov 04, 2015","1.0863","1.0962","1.0968","1.0842","-0.96"
"Nov 05, 2015","1.0884","1.0865","1.0898","1.0835","0.19"
"Nov 06, 2015","1.0741","1.0886","1.0896","1.0709","-1.31"
"Nov 09, 2015","1.0752","1.0738","1.0793","1.0719","0.10"
"Nov 10, 2015","1.0724","1.0751","1.0764","1.0673","-0.26"
"Nov 11, 2015","1.0744","1.0724","1.0774","1.0705","0.19"
"Nov 12, 2015","1.0817","1.0743","1.0829","1.0690","0.68"
"Nov 13, 2015","1.0779","1.0816","1.0818","1.0715","-0.35"
"Nov 16, 2015","1.0686","1.0751","1.0781","1.0675","-0.86"
"Nov 17, 2015","1.0644","1.0690","1.0696","1.0633","-0.39"
"Nov 18, 2015","1.0659","1.0640","1.0694","1.0617","0.14"
"Nov 19, 2015","1.0734","1.0657","1.0764","1.0654","0.70"
"Nov 20, 2015","1.0646","1.0736","1.0745","1.0641","-0.82"
"Nov 23, 2015","1.0636","1.0647","1.0658","1.0593","-0.09"
"Nov 24, 2015","1.0641","1.0634","1.0674","1.0620","0.05"
"Nov 25, 2015","1.0627","1.0642","1.0690","1.0566","-0.13"
"Nov 26, 2015","1.0610","1.0627","1.0633","1.0600","-0.16"
"Nov 27, 2015","1.0593","1.0610","1.0640","1.0570","-0.16"
"Nov 30, 2015","1.0564","1.0591","1.0596","1.0558","-0.27"
"Dec 01, 2015","1.0631","1.0566","1.0638","1.0562","0.63"
"Dec 02, 2015","1.0615","1.0633","1.0644","1.0553","-0.15"
"Dec 03, 2015","1.0941","1.0616","1.0983","1.0541","3.07"
"Dec 04, 2015","1.0886","1.0939","1.0957","1.0837","-0.50"
"Dec 07, 2015","1.0835","1.0859","1.0888","1.0795","-0.47"
"Dec 08, 2015","1.0894","1.0835","1.0901","1.0827","0.54"
"Dec 09, 2015","1.1025","1.0888","1.1042","1.0877","1.20"
"Dec 10, 2015","1.0941","1.1027","1.1029","1.0924","-0.76"
"Dec 11, 2015","1.0989","1.0943","1.1033","1.0926","0.44"
"Dec 14, 2015","1.0992","1.0985","1.1050","1.0946","0.03"
"Dec 15, 2015","1.0928","1.0991","1.1059","1.0903","-0.58"
"Dec 16, 2015","1.0913","1.0932","1.1008","1.0888","-0.14"
"Dec 17, 2015","1.0825","1.0915","1.0915","1.0800","-0.81"
"Dec 18, 2015","1.0868","1.0828","1.0877","1.0806","0.40"
"Dec 21, 2015","1.0915","1.0863","1.0941","1.0848","0.43"
"Dec 22, 2015","1.0955","1.0913","1.0985","1.0901","0.37"
"Dec 23, 2015","1.0909","1.0955","1.0957","1.0869","-0.42"
"Dec 24, 2015","1.0972","1.0913","1.0976","1.0903","0.58"
"Dec 25, 2015","1.0977","1.0973","1.0979","1.0945","0.05"
"Dec 28, 2015","1.0968","1.0965","1.0995","1.0951","-0.08"
"Dec 29, 2015","1.0917","1.0968","1.0992","1.0899","-0.46"
"Dec 30, 2015","1.0932","1.0920","1.0947","1.0903","0.14"
"Dec 31, 2015","1.0861","1.0932","1.0938","1.0850","-0.65"
"Jan 01, 2016","1.0860","1.0862","1.0869","1.0845","-0.01"
"Jan 04, 2016","1.0831","1.0858","1.0949","1.0783","-0.27"
"Jan 05, 2016","1.0748","1.0831","1.0840","1.0711","-0.77"
"Jan 06, 2016","1.0781","1.0749","1.0802","1.0721","0.31"
"Jan 07, 2016","1.0936","1.0779","1.0941","1.0770","1.44"
"Jan 08, 2016","1.0932","1.0934","1.0936","1.0804","-0.04"
"Jan 11, 2016","1.0860","1.0923","1.0969","1.0847","-0.66"
"Jan 12, 2016","1.0857","1.0859","1.0904","1.0822","-0.03"
"Jan 13, 2016","1.0877","1.0858","1.0891","1.0807","0.18"
"Jan 14, 2016","1.0865","1.0880","1.0945","1.0835","-0.11"
"Jan 15, 2016","1.0917","1.0866","1.0987","1.0855","0.48"
"Jan 18, 2016","1.0892","1.0918","1.0941","1.0869","-0.23"
"Jan 19, 2016","1.0909","1.0892","1.0941","1.0861","0.16"
"Jan 20, 2016","1.0891","1.0910","1.0977","1.0877","-0.16"
"Jan 21, 2016","1.0874","1.0893","1.0922","1.0779","-0.16"
"Jan 22, 2016","1.0797","1.0874","1.0879","1.0790","-0.71"
"Jan 25, 2016","1.0849","1.0799","1.0858","1.0788","0.48"
"Jan 26, 2016","1.0871","1.0850","1.0875","1.0819","0.20"
"Jan 27, 2016","1.0893","1.0871","1.0917","1.0851","0.20"
"Jan 28, 2016","1.0939","1.0891","1.0969","1.0869","0.42"
"Jan 29, 2016","1.0837","1.0938","1.0951","1.0812","-0.93"
"Feb 01, 2016","1.0888","1.0833","1.0915","1.0814","0.47"
"Feb 02, 2016","1.0919","1.0892","1.0944","1.0886","0.28"
"Feb 03, 2016","1.1104","1.0917","1.1146","1.0903","1.69"
"Feb 04, 2016","1.1208","1.1104","1.1240","1.1070","0.94"
"Feb 05, 2016","1.1159","1.1209","1.1246","1.1110","-0.44"
"Feb 08, 2016","1.1198","1.1159","1.1218","1.1087","0.35"
"Feb 09, 2016","1.1293","1.1197","1.1339","1.1163","0.85"
"Feb 10, 2016","1.1290","1.1292","1.1311","1.1159","-0.03"
"Feb 11, 2016","1.1324","1.1292","1.1378","1.1274","0.30"
"Feb 12, 2016","1.1260","1.1328","1.1335","1.1215","-0.57"
"Feb 15, 2016","1.1155","1.1251","1.1253","1.1127","-0.93"
"Feb 16, 2016","1.1144","1.1155","1.1196","1.1123","-0.10"
"Feb 17, 2016","1.1128","1.1143","1.1180","1.1104","-0.14"
"Feb 18, 2016","1.1107","1.1130","1.1153","1.1072","-0.19"
"Feb 19, 2016","1.1134","1.1107","1.1140","1.1067","0.24"
"Feb 22, 2016","1.1029","1.1128","1.1137","1.1003","-0.94"
"Feb 23, 2016","1.1020","1.1031","1.1055","1.0991","-0.08"
"Feb 24, 2016","1.1013","1.1019","1.1047","1.0957","-0.06"
"Feb 25, 2016","1.1023","1.1014","1.1052","1.0987","0.09"
"Feb 26, 2016","1.0934","1.1020","1.1071","1.0913","-0.81"
"Feb 29, 2016","1.0873","1.0932","1.0964","1.0858","-0.56"
"Mar 01, 2016","1.0867","1.0873","1.0896","1.0835","-0.06"
"Mar 02, 2016","1.0868","1.0868","1.0881","1.0825","0.01"
"Mar 03, 2016","1.0957","1.0867","1.0974","1.0853","0.82"
"Mar 04, 2016","1.1004","1.0958","1.1045","1.0903","0.43"
"Mar 07, 2016","1.1014","1.1008","1.1027","1.0940","0.09"
"Mar 08, 2016","1.1011","1.1014","1.1059","1.0992","-0.03"
"Mar 09, 2016","1.0999","1.1012","1.1037","1.0946","-0.11"
"Mar 10, 2016","1.1177","1.0998","1.1218","1.0821","1.62"
"Mar 11, 2016","1.1153","1.1177","1.1212","1.1081","-0.21"
"Mar 14, 2016","1.1106","1.1151","1.1177","1.1076","-0.42"
"Mar 15, 2016","1.1109","1.1100","1.1125","1.1071","0.03"
"Mar 16, 2016","1.1225","1.1110","1.1245","1.1058","1.04"
"Mar 17, 2016","1.1319","1.1224","1.1344","1.1205","0.84"
"Mar 18, 2016","1.1270","1.1319","1.1339","1.1257","-0.43"
"Mar 21, 2016","1.1241","1.1270","1.1286","1.1235","-0.26"
"Mar 22, 2016","1.1217","1.1245","1.1263","1.1190","-0.21"
"Mar 23, 2016","1.1184","1.1218","1.1224","1.1158","-0.29"
"Mar 24, 2016","1.1174","1.1179","1.1188","1.1143","-0.09"
"Mar 25, 2016","1.1166","1.1176","1.1189","1.1153","-0.07"
"Mar 28, 2016","1.1196","1.1164","1.1221","1.1154","0.27"
"Mar 29, 2016","1.1291","1.1198","1.1305","1.1168","0.85"
"Mar 30, 2016","1.1338","1.1290","1.1366","1.1281","0.42"
"Mar 31, 2016","1.1380","1.1338","1.1413","1.1309","0.37"
"Apr 01, 2016","1.1387","1.1380","1.1439","1.1334","0.06"
"Apr 04, 2016","1.1392","1.1393","1.1414","1.1357","0.04"
"Apr 05, 2016","1.1384","1.1389","1.1406","1.1336","-0.07"
"Apr 06, 2016","1.1399","1.1384","1.1434","1.1327","0.13"
"Apr 07, 2016","1.1377","1.1398","1.1455","1.1337","-0.19"
"Apr 08, 2016","1.1401","1.1379","1.1421","1.1350","0.21"
"Apr 11, 2016","1.1408","1.1407","1.1448","1.1373","0.06"
"Apr 12, 2016","1.1386","1.1408","1.1466","1.1347","-0.19"
"Apr 13, 2016","1.1274","1.1385","1.1393","1.1266","-0.98"
"Apr 14, 2016","1.1268","1.1274","1.1296","1.1234","-0.05"
"Apr 15, 2016","1.1283","1.1271","1.1320","1.1246","0.13"
"Apr 18, 2016","1.1314","1.1297","1.1334","1.1274","0.27"
"Apr 19, 2016","1.1358","1.1314","1.1387","1.1302","0.39"
"Apr 20, 2016","1.1297","1.1356","1.1388","1.1288","-0.54"
"Apr 21, 2016","1.1288","1.1297","1.1396","1.1272","-0.08"
"Apr 22, 2016","1.1233","1.1290","1.1311","1.1220","-0.49"
"Apr 25, 2016","1.1266","1.1231","1.1280","1.1216","0.29"
"Apr 26, 2016","1.1298","1.1265","1.1338","1.1254","0.28"
"Apr 27, 2016","1.1321","1.1298","1.1364","1.1274","0.20"
"Apr 28, 2016","1.1353","1.1320","1.1370","1.1296","0.28"
"Apr 29, 2016","1.1456","1.1354","1.1461","1.1335","0.91"
"May 02, 2016","1.1532","1.1447","1.1539","1.1446","0.66"
"May 03, 2016","1.1497","1.1533","1.1616","1.1495","-0.30"
"May 04, 2016","1.1487","1.1496","1.1530","1.1467","-0.09"
"May 05, 2016","1.1405","1.1486","1.1496","1.1385","-0.71"
"May 06, 2016","1.1405","1.1408","1.1479","1.1387","0.00"
"May 09, 2016","1.1383","1.1401","1.1422","1.1375","-0.19"
"May 10, 2016","1.1372","1.1385","1.1413","1.1361","-0.10"
"May 11, 2016","1.1427","1.1373","1.1448","1.1368","0.48"
"May 12, 2016","1.1377","1.1426","1.1434","1.1368","-0.44"
"May 13, 2016","1.1308","1.1378","1.1383","1.1284","-0.61"
"May 16, 2016","1.1320","1.1311","1.1346","1.1302","0.11"
"May 17, 2016","1.1314","1.1321","1.1350","1.1303","-0.05"
"May 18, 2016","1.1217","1.1313","1.1327","1.1212","-0.86"
"May 19, 2016","1.1203","1.1216","1.1230","1.1179","-0.12"
"May 20, 2016","1.1224","1.1204","1.1239","1.1194","0.19"
"May 23, 2016","1.1219","1.1218","1.1246","1.1187","-0.04"
"May 24, 2016","1.1141","1.1219","1.1228","1.1130","-0.70"
"May 25, 2016","1.1155","1.1141","1.1169","1.1128","0.13"
"May 26, 2016","1.1194","1.1154","1.1218","1.1144","0.35"
"May 27, 2016","1.1115","1.1193","1.1201","1.1107","-0.71"
"May 30, 2016","1.1147","1.1117","1.1149","1.1098","0.29"
"May 31, 2016","1.1132","1.1138","1.1176","1.1123","-0.13"
"Jun 01, 2016","1.1188","1.1133","1.1198","1.1114","0.50"
"Jun 02, 2016","1.1151","1.1189","1.1221","1.1142","-0.33"
"Jun 03, 2016","1.1367","1.1152","1.1377","1.1136","1.94"
"Jun 06, 2016","1.1355","1.1353","1.1395","1.1328","-0.11"
"Jun 07, 2016","1.1358","1.1355","1.1382","1.1338","0.03"
"Jun 08, 2016","1.1394","1.1358","1.1412","1.1349","0.32"
"Jun 09, 2016","1.1316","1.1399","1.1417","1.1305","-0.68"
"Jun 10, 2016","1.1251","1.1317","1.1329","1.1245","-0.57"
"Jun 13, 2016","1.1292","1.1253","1.1304","1.1233","0.36"
"Jun 14, 2016","1.1208","1.1293","1.1304","1.1188","-0.74"
"Jun 15, 2016","1.1259","1.1205","1.1299","1.1190","0.46"
"Jun 16, 2016","1.1226","1.1260","1.1298","1.1132","-0.29"
"Jun 17, 2016","1.1277","1.1226","1.1299","1.1221","0.45"
"Jun 20, 2016","1.1314","1.1285","1.1386","1.1284","0.33"
"Jun 21, 2016","1.1242","1.1312","1.1351","1.1241","-0.64"
"Jun 22, 2016","1.1297","1.1242","1.1339","1.1236","0.49"
"Jun 23, 2016","1.1389","1.1298","1.1424","1.1296","0.81"
"Jun 24, 2016","1.1117","1.1392","1.1434","1.0911","-2.39"
"Jun 27, 2016","1.1026","1.1072","1.1087","1.0972","-0.82"
"Jun 28, 2016","1.1067","1.1025","1.1111","1.1008","0.37"
"Jun 29, 2016","1.1125","1.1065","1.1131","1.1048","0.52"
"Jun 30, 2016","1.1105","1.1124","1.1157","1.1023","-0.18"
"Jul 01, 2016","1.1136","1.1104","1.1169","1.1070","0.28"
"Jul 04, 2016","1.1156","1.1142","1.1166","1.1097","0.18"
"Jul 05, 2016","1.1076","1.1154","1.1184","1.1059","-0.72"
"Jul 06, 2016","1.1099","1.1075","1.1111","1.1029","0.21"
"Jul 07, 2016","1.1063","1.1101","1.1113","1.1053","-0.32"
"Jul 08, 2016","1.1054","1.1063","1.1115","1.1002","-0.08"
"Jul 11, 2016","1.1058","1.1052","1.1076","1.1016","0.04"
"Jul 12, 2016","1.1059","1.1058","1.1128","1.1051","0.01"
"Jul 13, 2016","1.1090","1.1061","1.1121","1.1043","0.28"
"Jul 14, 2016","1.1120","1.1089","1.1166","1.1085","0.27"
"Jul 15, 2016","1.1036","1.1118","1.1150","1.1023","-0.76"
