Rank,Title,Studio,Worldwide,Domestic,Overseas
1,Beauty and the Beast (2017),BV,1263.50,504.00,759.50
2,The Fate of the Furious,Uni.,1235.80,225.80,1010.00
3,Despicable Me 3,Uni.,1032.00,264.20,767.80
4,Spider-Man: Homecoming,Sony,880.10,334.20,546.00
5,Wolf Warrior 2,HC,870.30,2.70,867.60
6,Guardians of the Galaxy Vol. 2,BV,863.60,389.80,473.80
7,Wonder Woman,WB,821.80,412.60,409.20
8,Pirates of the Caribbean: Dead Men Tell No Tales,BV,794.80,172.60,622.20
9,Thor: Ragnarok,BV,739.20,247.30,491.90
10,It,WB (NL),688.00,326.90,361.10
11,Logan,Fox,616.80,226.30,390.50
12,Transformers: The Last Knight,Par.,605.40,130.20,475.30
13,Kong: Skull Island,WB,566.70,168.10,398.60
14,Dunkirk,WB,525.00,188.00,337.00
15,The Boss Baby,Fox,498.90,175.00,323.90
16,War for the Planet of the Apes,Fox,490.60,146.90,343.70
17,The Mummy (2017),Uni.,409.10,80.10,329.00
18,Kingsman: The Golden Circle,Fox,394.60,99.70,294.80
19,Cars 3,BV,383.20,152.90,230.30
20,Fifty Shades Darker,Uni.,381.00,114.40,266.50
21,Your Name.,FUN,355.30,5.00,350.30
22,xXx: The Return of Xander Cage,Par.,346.10,44.90,301.20
23,The Great Wall,Uni.,334.60,45.20,289.40
24,Resident Evil: The Final Chapter,SGem,312.20,26.80,285.40
25,The LEGO Batman Movie,WB,312.00,175.80,136.20
26,Annabelle: Creation,WB (NL),305.80,102.10,203.70
27,Justice League,WB,278.80,93.80,185.00
28,Split,Uni.,278.30,138.10,140.20
29,Kung Fu Yoga,WGUSA,254.20,0.36,253.80
30,Get Out,Uni.,253.40,175.50,77.90
31,Blade Runner 2049,WB,249.60,89.30,160.30
32,Journey to the West: The Demons Strike Back,Sony,246.60,0.88,245.70
33,Alien: Covenant,Fox,240.70,74.30,166.50
34,Baby Driver,TriS,226.90,107.80,119.10
35,Valerian and the City of a Thousand Planets,STX,225.20,40.50,184.70
36,The Emoji Movie,Sony,215.80,86.10,129.70
37,Geostorm,WB,205.40,32.70,172.70
38,Smurfs: The Lost Village,Sony,197.20,45.00,152.20
39,A Dog's Purpose,Uni.,196.20,64.30,131.90
40,Baywatch,Par.,177.90,58.10,119.80
41,The Hitman's Bodyguard,LG/S,176.60,75.50,101.10
42,John Wick: Chapter Two,LG/S,171.50,92.00,79.50
43,Ghost in the Shell (2017),Par.,169.80,40.60,129.20
44,Duckweed,CL,151.10,0.47,150.60
45,King Arthur: Legend of the Sword,WB,148.70,39.20,109.50
46,Murder on the Orient Express (2017),Fox,148.20,51.70,96.50
47,Power Rangers (2017),LGF,142.30,85.40,57.00
48,Baahubali 2: The Conclusion,GrtIndia,141.50,20.20,121.30
49,Girls Trip,Uni.,137.00,115.10,21.90
50,The Foreigner,STX,135.30,34.00,101.30
51,American Made,Uni.,133.20,51.10,82.10
52,Captain Underpants: The First Epic Movie,Fox,125.20,73.90,51.20
53,The LEGO Ninjago Movie,WB,122.20,58.90,63.30
54,The Dark Tower,Sony,111.80,50.70,61.10
55,Buddies in India,CL,109.60,0.29,109.30
56,Leap!,Wein.,103.20,21.80,81.40
57,Railroad Tigers,WGUSA,102.20,0.22,102.00
58,Life (2017),Sony,100.50,30.20,70.30
59,Happy Death Day,Uni.,98.90,55.40,43.50
60,The Shack,LG/S,96.90,57.40,39.50
61,Some Like It Hot (Qing Shung),CL,95.70,0.10,95.60
62,Atomic Blonde,Focus,95.70,51.60,44.10
63,Going in Style (2017),WB (NL),84.90,45.00,39.90
64,Rings,Par.,83.10,27.80,55.30
65,A Taxi Driver,WGUSA,81.70,1.50,80.10
66,Jigsaw,LGF,81.20,36.50,44.70
67,Underworld: Blood Wars,SGem,81.10,30.40,50.70
68,A Bad Moms Christmas,STX,77.60,51.00,26.60
69,One Piece Film: Gold,FUN,66.20,0.42,65.80
70,Monster Trucks,Par.,64.50,33.40,31.10
71,American Assassin,LGF,62.70,36.20,26.50
72,How to be a Latin Lover,PNT,61.90,32.10,29.70
73,"Everything, Everything",WB,61.60,34.10,27.50
74,Victoria and Abdul,Focus,61.50,21.70,39.90
75,Snatched,Fox,60.80,45.90,15.00
76,The Nut Job 2: Nutty by Nature,ORF,58.50,28.40,30.20
77,Confidential Assignment,CJ,56.00,0.48,55.50
78,The Mountain Between Us,Fox,54.10,29.70,24.40
79,The Big Sick,LGF,53.80,42.90,10.90
80,Daddy's Home 2,Par.,50.60,50.20,0.43
81,My Little Pony: The Movie,LGF,50.40,21.70,28.70
82,Coco,BV,48.80,0.00,48.80
83,Tyler Perry's Boo 2! A Madea Halloween,LGF,47.60,46.60,0.98
84,Rough Night,Sony,47.30,22.10,25.20
85,The Battleship Island,CJ,46.10,1.10,45.00
86,Logan Lucky,BST,45.10,27.80,17.40
87,All Eyez on Me,LG/S,44.90,44.90,0.00
88,mother!,Par.,44.4,17.8,26.6
89,47 Meters Down,ENTMP,44.3,44.3,0
90,T2: Trainspotting,TriS,41.7,2.4,39.3
91,Fist Fight,WB (NL),41.1,32.2,8.9
92,Gifted,FoxS,41.1,24.8,16.3
93,Diary of a Wimpy Kid: The Long Haul,Fox,40.1,20.7,19.4
94,The Snowman,Uni.,37.2,6.7,30.5
95,The House,WB (NL),34.2,25.6,8.6
96,Wind River,Wein.,33.8,33.8,0
97,Flatliners (2017),Sony,33.6,16.9,16.7
98,Sleepless,ORF,32.8,20.8,12
99,Kidnap (2017),Aviron,30.7,30.7,0
100,The Beguiled (2017),Focus,27.7,10.6,17.1
